Name,Suburb,Street,Longitude,Latitude,Opens,Closes,Website,Phone,
Ресторан Буре Срна,Karposh 3,Nikola Rusinski,21.3936186,42.0045887,08:00,00:00,https://buresrna.mk/,38923066676,
Македонска куќа,Kozle,Mitropolit Teodosij Gologanov,21.4021466750278,41.9960393,08:00,24:00,http://www.makedonskakuka.com/en/skopje.php,Unknown,
Sushi Ко,Debar Maalo,Leninova,21.4239688671865,41.99968945,12:00,23:00,http://www.sushico.mk,+389 2 3217874,
Лира,Karposh 1,Nikola Tesla,21.4107452643245,42.00603985,09:00,24:00,http://www.lyra.com.mk/,+389 2 3061726,
Ресторан Маргер,Karposh 1,Boulevard Ilinden,21.4140163906112,42.00819955,08:00,24:00,http://www.marger.com.mk,+389 78 685 086,+389 23 067 428
Скара Бар,Taftalidzhe 1,Варшавска,21.3924371105775,42.00170455,08:00,24:00,http://skarabar.mk/,+389 75 727110,
Јавна Соба,Vodno,50 Divizija,21.4259580991788,41.9898962,08:00,24:00,http://publicroom.org/contact.html,+389 2 6092650,
Restoran Olive,Taftalidzhe 1,Pariska,21.40142545,42.0013528,09:00,24:00,https://www.facebook.com/olive.skopje/,+389 (0)2 3 06 66 23,
Кај Џино,Madzhir Maalo,Паркинг ГТЦ,21.4342799,41.9943261,08:00,24:00,http://www.restorangino.mk/,+389 2 3121109,
Pastel Wine & Dine,Kapishtec,Kliment Ohridski Boulevard,21.4245254,41.9947645,06:30,21:00,http://pastel.mk/,+389 2 3214447,
Дестан,Debar Maalo,Владимир Полежановски,21.4204158,41.9987513,09:00,23:00,https://destan.mk/pocetna/,38923127324,
Пивница АН,Madzhir Maalo,Gradiste,21.4366005,42.0000179,09:00,24:00,http://pivnicaan.mk/,+389 02 321 2111,
Trend Food Bar,Karposh 3,Boulevard Partizanski Odredi,21.3909265,42.0041936,Unknown,Unknown,http://www.caffetrend.mk/,+389 70 306425,
Пекинг Гарден,Debar Maalo,Maksim Gorki,21.4301301,41.9957324,11:00,24:00,www.pekinggarden.mk,+389 2 3221173,
Amigos Мексиканска Кантина,Debar Maalo,Makedonija,21.4300742,41.9933026,08:00,24:00,http://www.amigos.com.mk/,+389 71 230314,
Ch2pter,Karposh 4,Ljubljanska,21.3862677,42.004606,Unknown,Unknown,http://www.caffetrend.mk/,+389 75 490 155,
Македонска куќа,Kozle,Mitropolit Teodosij Gologanov,21.4021635,41.9959806,08:00,00:00,http://www.makedonskakuka.com,38923296415,
7 Скара Ресторан,Debar Maalo,Dame Gruev,21.4276093,41.9948293,08:00,24:00,http://7.mk/skara-restoran/,38923224000,
Мезе Бар,Ostrovo,Bulevar Kuzman Josifovski Pitu,21.4492023,41.9899769,08:00,01:00,https://www.facebook.com/mezebarskopjanka/,38926121214,
Веган365Кујна,Debar Maalo,Bulevard Kliment Ohridski,21.4263142,41.9992458,09:00,17:00,https://vegan365kitchen.com/,+389 75 585 255,
Paradise Food,Debar Maalo,Dame Gruev,21.4276555,41.9942708,08:00,20:00,https://www.facebook.com/paradisefood.mk/,+389 76 424 104,
Стара куќа,Madzhir Maalo,Пајко Маало,21.4384354,41.99683675,Unknown,Unknown,http://starakuka.com.mk/,+389 2 3131376,
Пелистер,Debar Maalo,Macedonia Square,21.4315704,41.9953933,07:00,00:00,https://www.pelisterhotel.com.mk/,Unknown,
Дукат,Kapishtec,Mitroplit Teodosij Gologanov,21.4130078275252,41.9948987,08:00,24:00,Unknown,+389 2 3211011,
Ресторан 14,Taftalidzhe 1,Londonska,21.39186715,42.0018539,Unknown,Unknown,http://www.restoran14.com.mk/,+389 2 3076411,
Корнер / Баба Цана,Vodno,Партенија Зографски,21.4198223196292,41.986792,Unknown,Unknown,Unknown,38923126390,38970386589
Skopski Merak,Debar Maalo,Дебарца,21.4198115079114,42.00104315,00:00,01:00,http://www.skopskimerak.mk/,Unknown,
Гурмет,Debar Maalo,Отон Жупанчич,21.4209250080777,42.00125395,09:00,24:00,Unknown,Unknown,
My Space cafe,Kapishtec,Народен Фронт,21.42094245,41.99280735,08:00,01:00,https://www.facebook.com/pages/My-Space-caf%C3%A9/150915781656629?ref=aymt_homepage_panel,Unknown,
Рустикана,Karposh 2,Римска,21.4078483,41.9997295,10:00,00:00,Unknown,38971383382,
Бела виста,Madzhir Maalo,Kej 13 Noemvri,21.4347685,41.9953199,10:00,24:00,www.bellavistaskopje.mk,Unknown,
Ла Тераца,Debar Maalo,11 Oktomvri,21.4317257,41.9950911,08:00,24:00,Unknown,+389 2 3113380,
Campione lounge Bar,Jane Sandanski,Bulevard Jane Sandanski,21.4667276,41.9856123,08:00,01:00,Unknown,+389 70 250 261,
Makedonska sofra,Madzhir Maalo,Bulevard Makedonija,21.4365756,41.9871974,08:00,01:00,Unknown,38978929010,
Thong Thai,Karposh 3,Boulevard Partizanski Odredi,21.3986642,42.0034137,10:00,01:00,Unknown,38971661234,
Te Flladi,Топанско Поле,Dzhon Kenedi,21.4378942,42.0131776,06:00,02:00,Unknown,38978324244,
Gostilnica Gurman,Vodno,Boulevard Majka Tereza,21.4223088,41.9916485,07:00,22:00,Unknown,38923176200,
Pizza Jakomo,Karposh 3,Nikola Rusinski,21.3931934,42.0044372,Unknown,Unknown,http://www.pizzajakomo.com/,37976338668,38978338668
Дебар Маало,Debar Maalo,Zhivko Chingo,21.4205747,42.0013292,08:00,00:30,Unknown,38976219654,
МЦМ Мезе Бар,Debar Maalo,Boulevard Ilinden,21.4235595,42.0023813,Unknown,Unknown,Unknown,38970250420,
"Кафана ""Дебар Маало""",Debar Maalo,Zhivko Chingo,21.4200655,42.0009079,08:00,00:00,Unknown,38971279660,
Joy Café & Bakery (Karposh),Karposh 1,Nikola Tesla,21.4109206,42.0055109,Unknown,Unknown,https://www.facebook.com/joycafeandbakery/,+389 2 307 6955,
Скадарлија,Karposh 1,Orce Nikolov,21.4147058,42.0046693,Unknown,Unknown,https://restoran-skadarlija-skopje.business.site/,38923052717,
Кај Вршац,Debar Maalo,Stoltemberg,21.423662,42.0053837,09:00,24:00,Unknown,38923117382,
Ка,Kapishtec,Митрополит Теодосиј Гологанов,21.4222040723053,41.995115,Unknown,Unknown,Unknown,38923214350,
Воденица,Kapishtec,Naroden Front,21.4131883296075,41.99482975,Unknown,Unknown,www.vodenicamulino.com.mk,Unknown,
Ден и Ноќ,Karposh 2,Skupi,21.4059057519519,42.01377435,Unknown,Unknown,http://www.replek.com.mk/DeniNok/zaNas.htm,Unknown,
Томче Софка,Debar Maalo,Јордан Хаџиконстантинов Џинот,21.4258128306003,42.00349285,Unknown,Unknown,http://hotelimakedonija.com.mk/mk/Hotel/62/Hotel-Tomce-Sofka-Skopje,Unknown,
Hunter’s Lodge “Kamnik”,Madzhari,Alexander of Macedon Boulevard,21.4871217,42.0072516,Unknown,Unknown,http://www.kamnik.com.mk/,Unknown,
Caffe Skopje,Debar Maalo,Makedonija,21.4310013,41.9952414,08:00,23:00,Unknown,Unknown,
Play Cafe,Debar Maalo,Makedonija,21.429836,41.992653,09:00,21:00,Unknown,Unknown,
Bistro Opera Pub,Madzhir Maalo,Goce Delčev Boulevard,21.4373453,41.9984414,Unknown,Unknown,Unknown,Unknown,
Синдикат,Debar Maalo,Orce Nikolov,21.4224135197326,42.0013472,09:00,01:00,Unknown,Unknown,
Барбакан,Karposh 2,Илинденска,21.4065101950611,42.00628045,08:00,01:00,Unknown,Unknown,
4 Angeli,Karposh 1,Ivan Agovski,21.4121648671141,42.004821,08:00,24:00,Unknown,Unknown,
Пицерија Либертас,Debar Maalo,Владимир Полежановски,21.4207447,41.9987097,Unknown,Unknown,Unknown,38970567295,
Up Cafe,Madzhir Maalo,11 Oktomvri,21.4324491,41.9950653,08:00,18:00,Unknown,Unknown,
Бруклински,Debar Maalo,Orce Nikolov,21.4252581,42.0001581,Unknown,Unknown,Unknown,+389 2 6091844,
Bocata,Debar Maalo,Nikola Vapcarov,21.4308204,41.9955477,08:00,23:00,Unknown,Unknown,
Coffee Factory 2,Debar Maalo,Makedonija,21.4308588,41.9949424,08:00,01:00,Unknown,Unknown,
Сокаче,Karposh 1,Dragan Gjakonovski Shpato,21.4145137,42.0051241,Unknown,Unknown,Unknown,Unknown,
Mon Frere,Dukjandzhik,Кавтанџиска,21.4370632,42.0017629,08:00,23:00,Unknown,Unknown,
Old Town,Dukjandzhik,Казанџиска,21.4368849,41.999241,10:00,22:00,Unknown,Unknown,
Nargile Cafe,Madzhir Maalo,Јорганџиска,21.4358699,42.0000003,10:00,22:00,Unknown,Unknown,
Telekom Trend Lounge Bar,Madzhir Maalo,Kej 13 Noemvri,21.4330712,41.9958677,08:00,24:00,Unknown,Unknown,
Bistro Skopje,Debar Maalo,Makedonija,21.4306195,41.9944452,09:00,21:00,Unknown,Unknown,
Gnezdo,Debar Maalo,Makedonija,21.430365,41.9938562,08:00,22:00,Unknown,Unknown,
Caffe Novo,Debar Maalo,Makedonija,21.4302256,41.9929701,09:00,22:00,Unknown,Unknown,
Caffe Bar Dolce Vita,Debar Maalo,Makedonija,21.4298707,41.9927362,09:00,21:00,Unknown,Unknown,
Corsso,Debar Maalo,Dame Gruev,21.4293734,41.9923772,Unknown,Unknown,Unknown,Unknown,
Destan,Madzhir Maalo,11 Oktomvri,21.4319604,41.9947506,08:00,23:00,Unknown,Unknown,
Brooklyn Lounge Bar,Karposh 4,Ljubljanska,21.3910004,42.0045421,Unknown,Unknown,Unknown,Unknown,
Носталгија,Kozle,Mitroplit Teodosij Gologanov,21.4099065,41.9953743,Unknown,Unknown,Unknown,38923060708,
Барбакан,Karposh 2,Илинденска,21.4063144,42.0062651,08:00,01:00,Unknown,Unknown,
The Gallery,Karposh 1,Franklin Ruzvelt,21.415006,42.0038265,07:30,24:00,Unknown,Unknown,
Жапон Кафе Бар,Karposh 1,Franklin Ruzvelt,21.415173,42.0040547,Unknown,Unknown,Unknown,Unknown,
Cafe Bela,Karposh 1,Franklin Ruzvelt,21.4146731,42.0042809,Unknown,Unknown,Unknown,Unknown,
бимекс,Karposh,Olympic Path,21.4093282,41.9748528,9:00,24:00,Unknown,Unknown,
DejaVu Lounge,Jane Sandanski,Bulevard Jane Sandanski,21.4661426,41.9859376,08:00,01:00,Unknown,Unknown,
Clique Bar,Dukjandzhik,Gradiste,21.4366103,41.9994358,Unknown,Unknown,Unknown,Unknown,
Гет Кафе,Pripor,Hristo Tatarchev,21.4448074,41.9728434,10:00,00:00,Unknown,Unknown,
Кантина,Debar Maalo,Радњанска,21.4191901,42.0005946,Unknown,Unknown,Unknown,Unknown,
Shisha,Dukjandzhik,Битпазарска,21.4375923,42.0011325,10:00,22:00,Unknown,Unknown,
Ubac,Vlae,Boulevard Partizanski Odredi,21.3678533,42.0084679,Unknown,Unknown,Unknown,38972555005,
Mikel,Debar Maalo,Boulevard Partizanski Odredi,21.4253762,41.9986406,Unknown,Unknown,https://www.facebook.com/vinylmk/,Unknown,
Kandi,Топанско Поле,Dzhon Kenedi,21.4341981,42.0128215,07:15,00:00,Unknown,Unknown,
Squeeze Me,Debar Maalo,Boulevard Blazhe Koneski,21.4284228,41.9971825,09:00,21:00,Unknown,Unknown,
k8,Madzhir Maalo,Gradiste,21.4361778,42.0002555,10:00,22:00,Unknown,Unknown,
Manda Coffee Bar,Debar Maalo,Vasil Glavinov,21.428439,41.9970171,09:00,21:00,Unknown,Unknown,
"Пицерија ""Дени""",Jane Sandanski,Bulevard Jane Sandanski,21.4670662,41.9856161,Unknown,Unknown,Unknown,38976346201,
La Pizza,Jane Sandanski,Bulevard Jane Sandanski,21.4681708,41.9819646,Unknown,Unknown,Unknown,38972575756,
Boomerang Shisha,Dukjandzhik,Казанџиска,21.4368049,41.9994044,Unknown,Unknown,Unknown,Unknown,
Сараево,Dukjandzhik,Битпазарска,21.4381319,42.0015097,07:30,19:00,Unknown,Unknown,
Home Brews,Debar Maalo,Vasil Iljoski,21.4297354,41.9973064,09:00,22:00,Unknown,Unknown,
Urban,Dukjandzhik,Битпазарска,21.4370091,41.9999671,Unknown,Unknown,Unknown,Unknown,
Coffe Tearoom Lachi,Madzhir Maalo,Gradiste,21.4364615,42.0003942,08:00,18:00,Unknown,Unknown,
Bomonti,Dukjandzhik,Битпазарска,21.4373153,41.999797,10:00,22:00,Unknown,Unknown,
Plaset,Dukjandzhik,Битпазарска,21.4382061,42.0016292,07:00,02:00,Unknown,Unknown,
Toto,Debar Maalo,Никола Тримпаре,21.4225095,41.9967222,08:00,01:00,Unknown,Unknown,
Shakespeare Cafe,Debar Maalo,Boulevard Partizanski Odredi,21.4234973,41.9981835,08:00,00:00,Unknown,Unknown,
Kairo,Dukjandzhik,Самарџиска,21.4385935,42.0030613,09:00,21:00,Unknown,Unknown,
Stay you,Debar Maalo,Makedonija,21.4304151,41.9940274,08:00,22:00,Unknown,Unknown,
JJ&S,Debar Maalo,Makedonija,21.4300488,41.9924937,09:00,21:00,Unknown,Unknown,
Mulliri,Madzhir Maalo,"Плоштад ""Карпошово Востание""",21.434633,41.9976507,11:00,23:00,Unknown,Unknown,
MIG,Debar Maalo,Makedonija,21.430389,41.9939851,09:00,21:00,Unknown,Unknown,
Gallery 7,Dukjandzhik,191,21.438158,42.0009497,09:00,21:00,Unknown,Unknown,
Рок Кафана Рустикана 2.0,Karposh 1,Boulevard Ilinden,21.4157772,42.0062237,10:00,24:00,Unknown,Unknown,
Cafe Barcelona,Debar Maalo,Makedonija,21.4297974,41.9932519,08:00,18:00,Unknown,Unknown,
Кај чичо 2,Karposh 4,Vich,21.3855189,42.0091204,09:00,24:00,Unknown,Unknown,
Кремисимо Трибина,Hipodrom,Улица 1640,21.5232371,41.9935483,Unknown,Unknown,https://cremissimo-tribina-lounge-bar.business.site/?utm_source=gmb&utm_medium=referral,Unknown,
Конструкта,Kapishtec,Vasil Gjorgov,21.4190587011504,41.9924237,Unknown,Unknown,Unknown,Unknown,
Ресторан 2 Златника,Kapishtec,Митрополит Теодосиј Гологанов,21.4237388,41.9953323,Unknown,Unknown,Unknown,Unknown,
Керпич,Debar Maalo,Дебарца,21.4226445704381,41.99735645,Unknown,Unknown,Unknown,Unknown,
Дане,Kapishtec,Kiro Krstevski - Platnik,21.4220935198211,41.99620235,Unknown,Unknown,Unknown,Unknown,
Ѓезме,Kapishtec,Костурски Херои,21.41828648662,41.99548425,Unknown,Unknown,Unknown,Unknown,
Мечос,Debar Maalo,Leninova,21.4229749825361,41.9990015,Unknown,Unknown,Unknown,Unknown,
Coffee Factory,Debar Maalo,Leninova,21.4235229312857,41.99910365,Unknown,Unknown,Unknown,Unknown,
Боними,Автокоманда,Трифун Хаџијанев,21.46223745,42.0030645,Unknown,Unknown,Unknown,Unknown,
Дојрана,Автокоманда,Интернационални Бригади,21.4598939564815,41.99796515,Unknown,Unknown,Unknown,Unknown,
Juice Bar,Debar Maalo,Leninova,21.4243073629608,42.00002195,Unknown,Unknown,Unknown,Unknown,
Балканика,Karposh 3,Велосипедска патека Кеј,21.4097243006681,42.00961975,Unknown,Unknown,Unknown,Unknown,
Уранија,Debar Maalo,Stoltemberg,21.42200985,42.006134,Unknown,Unknown,Unknown,Unknown,
Ѕвезден Океан,Debar Maalo,Лермонтова,21.4272510714061,41.99571355,Unknown,Unknown,Unknown,Unknown,
Љубов,Debar Maalo,Borka Taleski-Modernoto,21.4246142935832,41.9978684,Unknown,Unknown,Unknown,Unknown,
Manhattan Cafe,Debar Maalo,Leninova,21.4242078024415,41.9999119,Unknown,Unknown,Unknown,Unknown,
Рулет,Michurin,Симеон Кавракиров,21.4466299,41.9892137,Unknown,Unknown,Unknown,Unknown,
Sopotsko,Debar Maalo,Крсто Баиќ,21.4260666862773,42.00157875,Unknown,Unknown,Unknown,Unknown,
Kуќа,Madzhir Maalo,Mirche Acev,21.4374003,41.9931176,Unknown,Unknown,Unknown,Unknown,
Ресторан Кej,Madzhir Maalo,Kej 13 Noemvri,21.4414877190165,41.99444575,Unknown,Unknown,Unknown,Unknown,
Бравос,Debar Maalo,Goran Stefanovski,21.4145693443909,42.00005995,Unknown,Unknown,Unknown,Unknown,
Broz Cafe,Debar Maalo,Boulevard Partizanski Odredi,21.416703,42.0001541,Unknown,Unknown,Unknown,Unknown,
Od Nas Za Vas,Vodno,Zheleznichka,21.4296273306876,41.98912015,Unknown,Unknown,Unknown,Unknown,
Кашмир Арт Кафе,Debar Maalo,Никола Тримпаре,21.422097150765,41.99692865,Unknown,Unknown,Unknown,Unknown,
Калабалак,Centar,Пролет,21.4403079007697,41.98999165,Unknown,Unknown,Unknown,Unknown,
Фурна,Kozle,Mitroplit Teodosij Gologanov,21.40948495,41.9954379,Unknown,Unknown,Unknown,Unknown,
Излет,Debar Maalo,Мирослав Крлежа,21.4242939511191,41.99713915,Unknown,Unknown,Unknown,Unknown,
Интермецо,Kapishtec,Naroden Front,21.4140669,41.9947432,Unknown,Unknown,Unknown,Unknown,
Benneton,Kapishtec,Митрополит Теодосиј Гологанов,21.4232268,41.9948867,Unknown,Unknown,Unknown,Unknown,
AMG,Kapishtec,Митрополит Теодосиј Гологанов,21.4230113,41.9948604,Unknown,Unknown,Unknown,Unknown,
Strip,Debar Maalo,Dimitrie Chupovski,21.4253358,41.9955693,Unknown,Unknown,Unknown,Unknown,
Журнал,11 Oktomvri,Народни Херои,21.4438183,41.9768256,Unknown,Unknown,Unknown,Unknown,
Cafeteria,Karposh 2,Orce Nikolov,21.4082395,42.0051454,Unknown,Unknown,Unknown,Unknown,
Ла Тана,Centar,Пролет,21.4391941,41.98953225,Unknown,Unknown,Unknown,Unknown,
Амиго,Centar,Пролет,21.4394281430162,41.98972425,Unknown,Unknown,Unknown,Unknown,
Кај Злате,Centar,Пролет,21.4393638112662,41.98965085,Unknown,Unknown,Unknown,Unknown,
Галерија 7,Dukjandzhik,Битпазарска,21.4379661009364,42.00115065,Unknown,Unknown,Unknown,Unknown,
Под Кале,Debar Maalo,Лазар Личеноски,21.4307036,42.0047876,Unknown,Unknown,Unknown,Unknown,
Плаза де Торос,Madzhir Maalo,Kej 13 Noemvri,21.4350117,41.9952456,Unknown,Unknown,Unknown,Unknown,
9,Kapishtec,Naroden Front,21.4162239,41.9934306,Unknown,Unknown,Unknown,Unknown,
Мартини,Karposh 3,Boulevard Partizanski Odredi,21.3999451,42.0031059,Unknown,Unknown,Unknown,Unknown,
Бугати,Karposh 1,Kraguevska,21.4159604,42.0047028,Unknown,Unknown,Unknown,Unknown,
Erdi,Dukjandzhik,Сараевска,21.4458882506622,42.01143805,Unknown,Unknown,Unknown,Unknown,
Vesa,Dukjandzhik,Сараевска,21.4466106667056,42.0111411,Unknown,Unknown,Unknown,Unknown,
Alba,Dukjandzhik,Сараевска,21.4452476557533,42.01173705,Unknown,Unknown,Unknown,Unknown,
Dielli,Dukjandzhik,Св.Прохор Пчински,21.435363975,42.00821135,Unknown,Unknown,Unknown,Unknown,
Golden Mili,Dukjandzhik,Пере Тошев,21.435877575,42.01198505,Unknown,Unknown,Unknown,Unknown,
Кај Жабарот,Debar Maalo,Enver Malikji Bridge,21.4287438654877,42.0013885,Unknown,Unknown,Unknown,Unknown,
Гостилница Мерак,Автокоманда,Благоја Стефковски,21.4791372461455,42.0033525,Unknown,Unknown,Unknown,Unknown,
Читална,Debar Maalo,Mihail Cokov,21.4220948,42.00232545,Unknown,Unknown,Unknown,Unknown,
Чардак,Debar Maalo,Georgi Peshkov,21.422178842829,42.00204315,Unknown,Unknown,Unknown,Unknown,
Наша софра,Debar Maalo,Zhivko Chingo,21.4202965442628,42.00091895,Unknown,Unknown,Unknown,Unknown,
Дебар Маало,Debar Maalo,Orce Nikolov,21.4204840600232,42.00159005,Unknown,Unknown,Unknown,Unknown,
Наџак,Debar Maalo,Miroslav Krlezha,21.4214709753376,42.00140885,Unknown,Unknown,Unknown,Unknown,
Kancelarija,Debar Maalo,Georgi Peshkov,21.42224415,42.00165025,Unknown,Unknown,Unknown,Unknown,
Чамо,Debar Maalo,Georgi Peshkov,21.4220786619269,42.00214185,Unknown,Unknown,Unknown,Unknown,
Ganza,Debar Maalo,Georgi Peshkov,21.42228875,42.0021744,Unknown,Unknown,Unknown,Unknown,
Antica,Debar Maalo,Дебарца,21.4194825029299,42.0012245,Unknown,Unknown,Unknown,Unknown,
цреша бар,Debar Maalo,Rajko Zhinzifov,21.4188029973713,41.9986791,Unknown,Unknown,Unknown,Unknown,
Скандал,Kapishtec,Митрополит Теодосиј Гологанов,21.42125435,41.994706,Unknown,Unknown,Unknown,Unknown,
Лајт кафе,Kapishtec,Митрополит Теодосиј Гологанов,21.4209868463442,41.99467605,Unknown,Unknown,Unknown,Unknown,
Кремисимо 2,Dukjandzhik,Alexander of Macedon Boulevard,21.45801025,42.00073595,Unknown,Unknown,Unknown,Unknown,
Енрико,Karposh 3,Boulevard Partizanski Odredi,21.3995191,42.0031464,Unknown,Unknown,Unknown,Unknown,
